date,title,description,url,source,ticker,match_confidence
2025-04-09,ACB: Nghị quyết HĐQT về việc ký kết hợp đồng với công ty quản lý nợ,Ngân hàng Thương mại Cổ phần Á Châu công bố Nghị quyết HĐQT về việc ký kết hợp đồng với công ty quản lý nợ,https://cafef.vn/du-lieu/ACB-2168910/acb-nghi-quyet-hdqt-ve-viec-ky-ket-hop-dong-voi-cong-ty-quan-ly-no.chn,cafef,ACB,partial
2025-04-09,ACB: Nghị quyết và Biên bản họp ĐHĐCĐ thường niên năm 2025,Ngân hàng Thương mại Cổ phần Á Châu thông báo Nghị quyết và Biên bản họp ĐHĐCĐ thường niên năm 2025,https://cafef.vn/du-lieu/ACB-2169088/acb-nghi-quyet-va-bien-ban-hop-dhdcd-thuong-nien-nam-2025.chn,cafef,ACB,partial
2025-04-08,"Cổ đông lo ngại chia cổ tức tiền mặt liên tục trong 6 năm sẽ ""mất đi một ngân hàng ACB như hiện tại"", Chủ tịch Trần Hùng Huy nói gì?","Ông Trần Hùng Huy - Chủ tịch Ngân hàng Á Châu (ACB) cho biết trong nhiều năm qua, rất nhiều cổ đông đã kiến nghị việc chia cổ tức bằng tiền mặt. Đây được coi là bài toán để hài hòa lợi ích của các bên.",https://cafef.vn/co-dong-lo-ngai-chia-co-tuc-tien-mat-lien-tuc-trong-6-nam-se-mat-di-mot-ngan-hang-acb-nhu-hien-tai-chu-tich-tran-hung-huy-noi-gi-188250408133728596.chn,cafef,ACB,partial
2025-03-17,ACB: Nghị quyết HĐQT về phương án phát hành trái phiếu riêng lẻ lần 1 năm tài chính 2025,Ngân hàng Thương mại Cổ phần Á Châu công bố Nghị quyết HĐQT về phương án phát hành trái phiếu riêng lẻ lần 1 năm tài chính 2025,https://cafef.vn/du-lieu/ACB-2152072/acb-nghi-quyet-hdqt-ve-phuong-an-phat-hanh-trai-phieu-rieng-le-lan-1-nam-tai-chinh-2025.chn,cafef,ACB,partial
2025-03-12,ACB: Thông báo tổ chức ĐHĐCĐ thường niên năm 2025,Ngân hàng Thương mại Cổ phần Á Châu thông báo tổ chức ĐHĐCĐ thường niên năm 2025,https://cafef.vn/du-lieu/ACB-2147960/acb-thong-bao-to-chuc-dhdcd-thuong-nien-nam-2025.chn,cafef,ACB,partial
2025-03-07,ACB: Nghị quyết HĐQT số 961 ngày 06/03/2025,Ngân hàng Thương mại Cổ phần Á Châu công bố Nghị quyết HĐQT số 961 ngày 06/03/2025,https://cafef.vn/du-lieu/ACB-2145088/acb-nghi-quyet-hdqt-so-961-ngay-06032025.chn,cafef,ACB,partial
2025-02-20,"ACB: 28.2.2025, ngày GDKHQ tham dự ĐHCĐ thường niên năm 2025",Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh thông báo ngày ĐKCC để thực hiện quyền tham dự ĐHCĐ thường niên năm 2025 của Ngân hàng Thương mại Cổ phần Á Châu,https://cafef.vn/du-lieu/ACB-2134102/acb-2822025-ngay-gdkhq-tham-du-dhcd-thuong-nien-nam-2025.chn,cafef,ACB,partial
2025-02-10,ACB: CBTT ngày ĐKCC để thực hiện quyền tham dự ĐHCĐ thường niên năm 2025,Ngân hàng Thương mại Cổ phần Á Châu thông báo ngày ĐKCC để thực hiện quyền tham dự ĐHCĐ thường niên năm 2025,https://cafef.vn/du-lieu/ACB-2127678/acb-cbtt-ngay-dkcc-de-thuc-hien-quyen-tham-du-dhcd-thuong-nien-nam-2025.chn,cafef,ACB,partial
2025-01-23,ACB: Báo cáo tình hình quản trị Công ty năm 2024,Ngân hàng Thương mại Cổ phần Á Châu công bố báo cáo tình hình quản trị Công ty năm 2024,https://cafef.vn/du-lieu/ACB-2124299/acb-bao-cao-tinh-hinh-quan-tri-cong-ty-nam-2024.chn,cafef,ACB,partial
2025-01-22,ACB: Giải trình biến động LNST BCTC quý 4/2024 so với cùng kỳ năm trước,Ngân hàng Thương mại Cổ phần Á Châu giải trình biến động LNST BCTC quý 4/2024 so với cùng kỳ năm trước,https://cafef.vn/du-lieu/ACB-2119960/acb-giai-trinh-bien-dong-lnst-bctc-quy-42024-so-voi-cung-ky-nam-truoc.chn,cafef,ACB,partial
2024-10-21,"ACB: Nghị quyết HĐQT số 4299/TCQĐ-HĐQT.24, 4303/TCQĐ-HĐQT.24, 4304/TCQĐ-HĐQT.24 ngày 21/10/2024","Ngân hàng Thương mại Cổ phần Á Châu thông báo Nghị quyết HĐQT số 4299/TCQĐ-HĐQT.24, 4303/TCQĐ-HĐQT.24, 4304/TCQĐ-HĐQT.24 ngày 21/10/2024",https://cafef.vn/du-lieu/ACB-2072549/acb-nghi-quyet-hdqt-so-4299tcqdhdqt24-4303tcqdhdqt24-4304tcqdhdqt24-ngay-21102024.chn,cafef,ACB,partial
2024-09-27,ACB: Nhắc nhở chậm CBTT Nghị quyết HĐQT số 910/TCQĐ-HĐQT.23 ngày 12/04/2023,Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh thông báo nhắc nhở chậm CBTT Nghị quyết HĐQT số 910/TCQĐ-HĐQT.23 ngày 12/04/2023 đối với Ngân hàng Thương mại Cổ phần Á Châu,https://cafef.vn/du-lieu/ACB-2060368/acb-nhac-nho-cham-cbtt-nghi-quyet-hdqt-so-910tcqdhdqt23-ngay-12042023.chn,cafef,ACB,partial
2024-08-08,ACB: Nghị quyết HĐQT về phương án phát hành trái phiếu riêng lẻ lần 2 trong năm tài chính 2024,Ngân hàng Thương mại Cổ phần Á Châu thông báo Nghị quyết HĐQT về phương án phát hành trái phiếu riêng lẻ lần 2 trong năm tài chính 2024,https://cafef.vn/du-lieu/ACB-2037532/acb-nghi-quyet-hdqt-ve-phuong-an-phat-hanh-trai-phieu-rieng-le-lan-2-trong-nam-tai-chinh-2024.chn,cafef,ACB,partial
