model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,horizon,n_train,n_test,n_features,train_start,train_end,test_start,test_end,variant,ticker,lag_days
Random_Forest,Config_A,0.5427350427350427,0.4791666666666667,0.21904761904761905,0.48048552754435103,0.5366186784791437,0.512624584717608,1d,937,234,26,2021-10-13,2025-07-16,2025-07-17,2026-06-25,relevant_non_irrelevant_per_ticker,VCB,0
Logistic_Regression,Config_LLM,0.5128205128205128,0.45263157894736844,0.4095238095238095,0.5023134328358209,0.4976005906238465,0.5032115171650056,1d,937,234,141,2021-10-13,2025-07-16,2025-07-17,2026-06-25,relevant_non_irrelevant_per_ticker,VCB,0
Random_Forest,Config_LLM,0.46153846153846156,0.37349397590361444,0.29523809523809524,0.4398936170212766,0.46242155777039495,0.4460686600221484,1d,937,234,141,2021-10-13,2025-07-16,2025-07-17,2026-06-25,relevant_non_irrelevant_per_ticker,VCB,0
Logistic_Regression,Config_Hybrid,0.49145299145299143,0.40789473684210525,0.29523809523809524,0.4639536450613125,0.47530454042081943,0.4732004429678849,1d,937,234,167,2021-10-13,2025-07-16,2025-07-17,2026-06-25,relevant_non_irrelevant_per_ticker,VCB,0
Random_Forest,Config_Hybrid,0.5641025641025641,0.5428571428571428,0.18095238095238095,0.48022648083623687,0.5354005167958655,0.5284606866002215,1d,937,234,167,2021-10-13,2025-07-16,2025-07-17,2026-06-25,relevant_non_irrelevant_per_ticker,VCB,0
Logistic_Regression,Config_A,0.6223175965665236,0.8888888888888888,0.1568627450980392,0.5061657032755299,0.6624756772938182,0.5707977847627601,5d,934,233,26,2021-10-13,2025-07-11,2025-07-14,2026-06-19,relevant_non_irrelevant_per_ticker,VCB,0
Random_Forest,Config_A,0.6351931330472103,0.7741935483870968,0.23529411764705882,0.5528235001919213,0.6884822631342613,0.590929501571621,5d,934,233,26,2021-10-13,2025-07-11,2025-07-14,2026-06-19,relevant_non_irrelevant_per_ticker,VCB,0
Logistic_Regression,Config_LLM,0.5407725321888412,0.4752475247524752,0.47058823529411764,0.5330311487385042,0.5627151624008382,0.533004041311181,5d,934,233,141,2021-10-13,2025-07-11,2025-07-14,2026-06-19,relevant_non_irrelevant_per_ticker,VCB,0
Random_Forest,Config_LLM,0.5579399141630901,0.4936708860759494,0.38235294117647056,0.5347678588737036,0.5874120640622661,0.5385047148630444,5d,934,233,141,2021-10-13,2025-07-11,2025-07-14,2026-06-19,relevant_non_irrelevant_per_ticker,VCB,0
Logistic_Regression,Config_Hybrid,0.5536480686695279,0.4583333333333333,0.10784313725490197,0.4343604108309991,0.6141296213141746,0.504303248016764,5d,934,233,167,2021-10-13,2025-07-11,2025-07-14,2026-06-19,relevant_non_irrelevant_per_ticker,VCB,0
Random_Forest,Config_Hybrid,0.6137339055793991,0.6764705882352942,0.22549019607843138,0.5327540106951871,0.6852267624607093,0.5707603652147882,5d,934,233,167,2021-10-13,2025-07-11,2025-07-14,2026-06-19,relevant_non_irrelevant_per_ticker,VCB,0
Logistic_Regression,Config_A,0.5862068965517241,0.5,0.21875,0.5049346492397973,0.7244944852941176,0.5321691176470589,10d,930,232,26,2021-10-13,2025-07-07,2025-07-08,2026-06-12,relevant_non_irrelevant_per_ticker,VCB,0
Random_Forest,Config_A,0.5775862068965517,0.4772727272727273,0.21875,0.49876543209876545,0.6175321691176471,0.5248161764705883,10d,930,232,26,2021-10-13,2025-07-07,2025-07-08,2026-06-12,relevant_non_irrelevant_per_ticker,VCB,0
Logistic_Regression,Config_LLM,0.5431034482758621,0.4576271186440678,0.5625,0.5403364485981308,0.561734068627451,0.5459558823529411,10d,930,232,141,2021-10-13,2025-07-07,2025-07-08,2026-06-12,relevant_non_irrelevant_per_ticker,VCB,0
