segment_type,segment_name,n_samples,keyword,direction,n_occurrences,n_excluded,chi_statistic,chi_p_raw,chi_p_adj,chi_test_used,mw_statistic,mw_p_raw,mw_p_adj,logit_coef,logit_ci_lower,logit_ci_upper,logit_p_raw,logit_p_adj,significant_chi,significant_mw,significant_logit,significant_any
sector,Consumer,170,xuất khẩu tăng,positive,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Consumer,170,doanh thu giảm,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Consumer,170,lợi nhuận âm,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Consumer,170,lỗ ròng,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Consumer,170,dưới kế hoạch,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Consumer,170,kết quả tiêu cực,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Consumer,170,lợi nhuận thấp hơn,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Consumer,170,báo lỗ,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Consumer,170,lỗ nặng,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Consumer,170,lỗ kỷ lục,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Consumer,170,tụt dốc,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Consumer,170,kinh doanh sa sút,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Consumer,170,âm vốn chủ sở hữu,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Consumer,170,lợi nhuận không tăng,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Consumer,170,doanh thu không tăng,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Consumer,170,không tăng trưởng,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Consumer,170,tăng trưởng chậm lại,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Consumer,170,không hoàn thành kế hoạch,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Consumer,170,không đạt kế hoạch,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Consumer,170,chưa có lãi,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Consumer,170,hủy cổ tức,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Consumer,170,giảm cổ tức,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Consumer,170,phát hành pha loãng,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Consumer,170,chào bán giá thấp,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Consumer,170,nợ xấu,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Consumer,170,nợ vay tăng,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Consumer,170,áp lực tài chính,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Consumer,170,nợ quá hạn,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Consumer,170,hệ số nợ cao,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Consumer,170,thiếu thanh khoản,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Consumer,170,dòng tiền âm,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Consumer,170,hủy hợp đồng,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
