universe,relevance_variant,unit,model,n_test,ba_a,ba_hybrid,delta_hybrid_minus_a,b,c,n_discordant,p_mid
VN30,direct_indirect,2month,XGBoost,150,0.7205801860974275,0.7285166940339354,0.007936507936507908,4,5,9,0.7539062500000002
VN30,direct_indirect,2week,LightGBM,720,0.7066666666666667,0.7208080808080808,0.014141414141414121,21,29,50,0.26243753571104367
VN30,direct_indirect,2week,Logistic_Regression,720,0.6975757575757575,0.6965656565656566,-0.0010101010101009056,1,0,1,0.4999999999999999
VN30,direct_indirect,2week,Random_Forest,720,0.6923232323232323,0.6868686868686869,-0.00545454545454549,28,25,53,0.6834892282353374
VN30,direct_indirect,2week,XGBoost,720,0.6953535353535354,0.6955555555555555,0.0002020202020200923,44,37,81,0.43970542918582184
VN30,direct_indirect,month,LightGBM,330,0.652780487804878,0.636780487804878,-0.016000000000000014,12,8,20,0.383310317993164
VN30,direct_indirect,month,Logistic_Regression,330,0.6051707317073171,0.6027317073170732,-0.0024390243902439046,2,1,3,0.6249999999999999
VN30,direct_indirect,month,Random_Forest,330,0.6753170731707316,0.678439024390244,0.003121951219512309,8,8,16,0.8036193847656253
VN30,direct_indirect,month,XGBoost,330,0.6205853658536585,0.6714146341463414,0.05082926829268286,12,29,41,0.007915897334896735
VN30,direct_indirect,quarter,LightGBM,90,0.7047566976489885,0.6708583925642427,-0.03389830508474578,6,2,8,0.17968749999999994
VN30,direct_indirect,quarter,Logistic_Regression,90,0.6394204483324221,0.6394204483324221,0.0,0,0,0,1.0
VN30,direct_indirect,quarter,Random_Forest,90,0.753143794423182,0.7031164570803717,-0.050027337342810285,8,3,11,0.14599609375
VN30,direct_indirect,quarter,XGBoost,90,0.6853471842536906,0.6683980317113176,-0.016949152542372947,3,1,4,0.375
VN30,indirect_only,1week,LightGBM,1440,0.696219027255284,0.696219027255284,0.0,0,0,0,1.0
VN30,indirect_only,1week,Logistic_Regression,1440,0.675595317913297,0.675595317913297,0.0,0,0,0,1.0
VN30,indirect_only,1week,Random_Forest,1440,0.6298411103986503,0.6323754934062157,0.002534383007565366,30,37,67,0.3961248402970296
VN30,indirect_only,1week,XGBoost,1440,0.6673192591165865,0.6673192591165865,0.0,0,0,0,1.0
VN30,indirect_only,2month,LightGBM,150,0.69896004378763,0.69896004378763,0.0,0,0,0,1.0
VN30,indirect_only,2month,Logistic_Regression,150,0.5290093048713739,0.6436781609195402,0.11466885604816635,20,35,55,0.04404654610215071
